date,lnc
6/1/2020,6.081406447
6/8/2020,5.982722158
6/15/2020,6.098918548
6/22/2020,6.244493893
6/29/2020,6.375743228
7/6/2020,6.517004454
7/13/2020,6.643861345
7/20/2020,6.686018595
7/27/2020,6.598192513
8/3/2020,6.631445251
8/10/2020,6.61106283
8/17/2020,6.615508327
8/24/2020,6.588384377
8/31/2020,6.626079324
9/7/2020,6.574321621
9/14/2020,6.692614088
9/21/2020,6.739776091
9/28/2020,6.91348455
10/5/2020,7.067296709
10/12/2020,7.165571856
10/19/2020,7.255302592
10/26/2020,7.304138029
11/2/2020,7.44449582
11/9/2020,7.534176405
11/16/2020,7.549326945
11/23/2020,7.56033088
11/30/2020,7.509747079
12/7/2020,7.394204981
12/14/2020,7.332806464
12/21/2020,7.2908323
12/28/2020,7.316100996
1/4/2021,7.490052939
1/11/2021,7.716254734
1/18/2021,7.728973974
1/25/2021,7.561521168
2/1/2021,7.422957938
2/8/2021,7.300685775
2/15/2021,7.250556628
2/22/2021,7.298808461
3/1/2021,7.448798933
3/8/2021,7.532581327
3/15/2021,7.693226367
3/22/2021,7.803917936
3/29/2021,7.838463689
4/5/2021,7.887443041
4/12/2021,7.959648457
4/19/2021,7.951367562
4/26/2021,7.947839039
5/3/2021,7.882897822
5/10/2021,7.780107439
5/17/2021,7.6560846
5/24/2021,7.583487118
5/31/2021,7.527320272
6/7/2021,7.517962446
6/14/2021,7.643381663
6/21/2021,7.662980009
6/28/2021,7.749624759
7/5/2021,7.857646178
7/12/2021,7.93529115
7/19/2021,7.920943917
7/26/2021,7.996713738
8/2/2021,8.103044432
8/9/2021,8.139514095
8/16/2021,8.133059583
8/23/2021,8.122489712
8/30/2021,8.133698947
9/6/2021,8.136712639
9/13/2021,8.098597207
9/20/2021,8.220909315
9/27/2021,8.144988943
10/4/2021,8.075331594
10/11/2021,8.054406747
10/18/2021,7.997785225
10/25/2021,8.01137899
11/1/2021,8.052910856
11/8/2021,7.679479258
11/15/2021,7.604992157
11/22/2021,7.559462268
11/29/2021,7.528716562
12/6/2021,7.675336103
12/13/2021,7.878741101
12/20/2021,7.810537639
12/27/2021,7.828618626
1/3/2022,8.428573727
1/10/2022,8.822805404
1/17/2022,8.963339503
1/24/2022,8.955205051
1/31/2022,8.848129336
2/7/2022,8.799351098
2/14/2022,8.623152391
2/21/2022,8.310142102
2/28/2022,8.047428711
3/7/2022,8.099743107
